datetime	temp0.1	temp0.5	temp1.0	temp1.25	temp1.5	temp1.75	temp2.0	temp2.25	temp2.5	temp2.75	temp3.0	temp4.0
2014-04-15 00:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 00:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 00:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 00:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 00:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 01:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 01:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 01:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 01:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 01:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 01:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 02:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 02:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 02:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 02:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 02:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 02:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 03:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 03:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 03:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 03:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
