datetime	temp0.1	temp0.25	temp0.5	temp0.75	temp1.0	temp1.5
2015-05-13 09:00:00	NA	NA	NA	NA	NA	NA
2015-05-13 09:10:00	NA	NA	NA	NA	NA	NA
2015-05-13 09:20:00	NA	NA	NA	NA	NA	NA
2015-05-13 09:30:00	NA	NA	NA	NA	NA	NA
2015-05-13 09:40:00	NA	NA	NA	NA	NA	NA
2015-05-13 09:50:00	NA	NA	NA	NA	NA	NA
2015-05-13 10:00:00	NA	NA	NA	NA	NA	NA
2015-05-13 10:10:00	NA	NA	NA	NA	NA	NA
2015-05-13 10:20:00	NA	NA	NA	NA	NA	NA
2015-05-13 10:30:00	NA	NA	NA	NA	NA	NA
2015-05-13 10:40:00	NA	NA	NA	NA	NA	NA
2015-05-13 10:50:00	NA	NA	NA	NA	NA	NA
2015-05-13 11:00:00	NA	NA	NA	NA	NA	NA
2015-05-13 11:10:00	NA	NA	NA	NA	NA	NA
2015-05-13 11:20:00	NA	NA	NA	NA	NA	NA
2015-05-13 11:30:00	NA	NA	NA	NA	NA	NA
2015-05-13 11:40:00	NA	NA	NA	NA	NA	NA
2015-05-13 11:50:00	NA	NA	NA	NA	NA	NA
2015-05-13 12:00:00	NA	NA	NA	NA	NA	NA
2015-05-13 12:10:00	NA	NA	NA	NA	NA	NA
2015-05-13 12:20:00	NA	NA	NA	NA	NA	NA
2015-05-13 12:30:00	13.46	12.79	12.21	11.82	11.62	7.28
2015-05-13 12:40:00	13.75	13.08	12.21	11.82	11.53	7.58
2015-05-13 12:50:00	13.65	12.98	12.3	11.82	11.62	7.98
2015-05-13 13:00:00	13.85	13.08	12.5	11.92	11.62	8.18
2015-05-13 13:10:00	14.04	13.27	12.59	11.92	11.62	8.08
2015-05-13 13:20:00	14.13	13.27	12.3	11.92	11.62	7.28
2015-05-13 13:30:00	14.42	13.36	12.21	11.82	11.62	7.18
2015-05-13 13:40:00	14.42	13.36	12.3	12.01	11.72	6.98
2015-05-13 13:50:00	14.23	13.27	12.4	12.01	11.62	7.08
2015-05-13 14:00:00	14.42	13.65	12.69	11.92	11.62	7.18
2015-05-13 14:10:00	14.71	13.94	12.79	11.92	11.62	7.88
2015-05-13 14:20:00	14.42	14.23	12.98	12.11	11.72	8.08
2015-05-13 14:30:00	14.52	14.13	12.88	12.11	11.72	7.88
2015-05-13 14:40:00	14.71	14.13	12.98	12.21	11.82	7.48
2015-05-13 14:50:00	15.47	14.23	12.88	12.21	11.82	7.58
2015-05-13 15:00:00	15.57	14.52	12.69	12.11	11.72	7.68
2015-05-13 15:10:00	15.57	14.52	12.69	12.21	11.62	7.68
2015-05-13 15:20:00	15.95	14.52	12.88	12.21	11.62	7.78
2015-05-13 15:30:00	15.66	14.9	13.08	12.21	11.72	7.28
2015-05-13 15:40:00	15.85	15.28	13.94	12.3	11.82	7.18
2015-05-13 15:50:00	15.95	15.19	13.56	12.3	11.72	7.78
2015-05-13 16:00:00	16.33	15.28	13.36	12.21	11.62	7.98
2015-05-13 16:10:00	16.24	15.09	13.17	12.3	11.72	8.08
2015-05-13 16:20:00	16.33	15	13.27	12.21	11.24	7.58
2015-05-13 16:30:00	16.43	15.57	13.36	12.11	11.33	7.38
2015-05-13 16:40:00	16.52	15.57	13.56	12.11	11.33	7.38
2015-05-13 16:50:00	16.33	15.38	13.46	12.11	11.33	8.08
2015-05-13 17:00:00	16.43	15.47	13.56	12.01	11.24	8.48
2015-05-13 17:10:00	16.52	15.76	13.65	12.11	11.53	8.38
2015-05-13 17:20:00	16.52	15.57	13.36	12.01	11.53	8.18
2015-05-13 17:30:00	16.62	15.85	13.75	12.11	11.53	7.78
2015-05-13 17:40:00	16.43	15.66	13.36	11.92	11.43	7.48
2015-05-13 17:50:00	16.52	15.38	12.98	11.92	11.33	7.78
2015-05-13 18:00:00	16.52	15.66	13.17	11.82	11.24	7.68
2015-05-13 18:10:00	16.62	15.85	13.46	11.92	11.33	7.48
2015-05-13 18:20:00	16.71	16.05	13.46	11.92	11.43	8.08
2015-05-13 18:30:00	16.62	15.95	13.08	11.92	11.53	8.18
2015-05-13 18:40:00	16.52	15.85	12.69	11.92	11.43	8.18
2015-05-13 18:50:00	16.43	15.76	12.59	11.92	11.53	7.78
2015-05-13 19:00:00	16.24	15.38	12.59	11.92	11.43	7.58
2015-05-13 19:10:00	16.14	15	12.69	11.92	11.62	7.28
2015-05-13 19:20:00	16.14	15.09	12.88	12.01	11.62	7.38
2015-05-13 19:30:00	16.05	15.09	13.36	12.11	11.62	8.08
2015-05-13 19:40:00	15.95	15.28	13.36	12.11	11.53	8.08
2015-05-13 19:50:00	15.85	15.57	13.27	12.11	11.53	7.98
2015-05-13 20:00:00	15.85	15.66	13.17	12.01	11.53	7.88
2015-05-13 20:10:00	15.95	15.76	13.08	12.01	11.53	7.38
2015-05-13 20:20:00	15.95	15.76	13.27	12.01	11.53	7.28
2015-05-13 20:30:00	15.85	15.76	13.36	12.11	11.62	7.18
2015-05-13 20:40:00	15.76	15.66	13.65	12.21	11.62	7.28
2015-05-13 20:50:00	15.66	15.66	13.94	12.4	11.62	7.18
2015-05-13 21:00:00	15.57	15.57	13.94	12.4	11.62	7.18
2015-05-13 21:10:00	15.47	15.47	13.56	12.3	11.62	7.38
2015-05-13 21:20:00	15.38	15.47	13.46	12.21	11.62	7.48
2015-05-13 21:30:00	15.38	15.38	13.27	12.21	11.53	7.58
2015-05-13 21:40:00	15.28	15.28	13.08	12.11	11.33	7.58
2015-05-13 21:50:00	15.19	15.19	13.08	12.01	11.43	7.68
2015-05-13 22:00:00	15.09	15.19	13.17	12.11	11.43	7.98
2015-05-13 22:10:00	15	15.09	13.27	12.11	11.53	7.98
2015-05-13 22:20:00	15	15	13.27	12.11	11.53	7.98
2015-05-13 22:30:00	14.9	14.9	13.17	12.01	11.43	8.08
2015-05-13 22:40:00	14.8	14.9	13.08	12.01	11.33	8.08
2015-05-13 22:50:00	14.8	14.8	12.98	11.92	11.33	7.98
2015-05-13 23:00:00	14.71	14.8	12.98	12.01	11.43	7.78
2015-05-13 23:10:00	14.61	14.71	13.27	12.01	11.43	7.68
2015-05-13 23:20:00	14.61	14.71	13.46	12.11	11.43	7.78
2015-05-13 23:30:00	14.61	14.61	13.56	12.11	11.43	7.88
2015-05-13 23:40:00	14.52	14.61	13.36	12.11	11.43	7.78
2015-05-13 23:50:00	14.52	14.52	13.36	12.11	11.43	7.58
2015-05-14 00:00:00	14.42	14.42	13.36	12.11	11.43	7.58
2015-05-14 00:10:00	14.32	14.42	13.17	12.01	11.33	7.48
2015-05-14 00:20:00	14.32	14.32	13.27	12.01	11.33	7.58
2015-05-14 00:30:00	14.23	14.32	13.27	12.01	11.33	7.88
2015-05-14 00:40:00	14.23	14.32	13.17	12.11	11.53	7.78
2015-05-14 00:50:00	14.23	14.23	12.98	12.11	11.53	7.78
2015-05-14 01:00:00	14.13	14.13	12.98	12.11	11.62	7.78
2015-05-14 01:10:00	14.04	14.13	12.98	12.11	11.53	7.68
