HRT_yrs,C_ret_proportion,LakeType
0.03,0.075757576,Drainage
0.04,0.0679,UNDERC_D
0.27,0.25,Drainage
0.33,0.268292683,Drainage
0.33,0.176,Drainage
0.33,0.22826087,Drainage
0.4,0.32,Drainage
0.5,0.32,Drainage
0.5,0.44,Drainage
0.6,0.47,Drainage
1,0.35,Drainage
1.262108929,0.726529161,Drainage
1.3,0.5,Drainage
1.4,0.37,Drainage
1.642857143,0.37,Drainage
1.879699248,0.55,Drainage
2,0.51,Drainage
2.1,0.57,Drainage
2.1,0.56,Drainage
2.104018913,0.42,Drainage
2.4,0.49,Drainage
2.4,0.52,Drainage
2.5,0.7,Drainage
2.6,0.47,Drainage
2.610294118,0.37,Drainage
2.85,0.53,Drainage
3.1,0.62,Drainage
3.197115385,0.42,Drainage
3.2,0.56,Drainage
3.8,0.62,Drainage
3.95,0.69,Drainage
5,0.31,Drainage
5.6,0.61,Drainage
5.666666667,0.59,Drainage
8.4,0.77,Drainage
13.5,0.71,Drainage
2.2,0.789,UNDERC_S
2.356164384,0.812,UNDERC_Long
2.5,0.893617021,Seepage
2.78,0.8966,UNDERC_S
3.75,0.860465116,Seepage
3.9,0.855,UNDERC_S
