Top_cm,Base_cm,Mid_cm,Total_210Pb,Error_201Pb,Cum_DryMass_g_cm2,Unsup_210Pb,Error_210Pb,Age_Base_yr,Error_Age_sd ,Date_Base_AD,Date_Mid_AD,Sediment_DMAR_g_cm2_yr,Error_DMAR
0,0.9,0.45,22.630,0.888,0.014,22.404,0.888,3.02,2.36,2012.1,2013.6,0.0046,0.0003
0.96,1.86,1.41,17.323,0.622,0.045,17.096,0.622,8.84,2.62,2006.2,2009.0,0.0053,0.0004
2.88,3.78,3.33,10.521,0.413,0.117,10.295,0.413,21.22,2.69,1993.9,1996.9,0.0060,0.0004
4.8,5.7,5.25,5.386,0.254,0.210,5.160,0.254,33.58,2.02,1981.5,1984.4,0.0081,0.0005
5.76,6.66,6.21,4.121,0.122,0.257,3.895,0.122,38.84,2.16,1976.2,1978.7,0.0091,0.0005
7.68,8.58,8.13,2.426,0.058,0.366,2.199,0.059,48.80,1.78,1966.3,1968.6,0.0117,0.0004
9.6,10.5,10.05,2.392,0.086,0.475,2.166,0.087,60.71,1.95,1954.4,1957.4,0.0084,0.0004
10.56,11.46,11.01,2.345,0.083,0.531,2.119,0.084,68.83,2.12,1946.3,1950.1,0.0068,0.0004
11.552,12.42,11.986,1.558,0.044,0.589,1.331,0.046,75.65,2.34,1939.4,1942.5,0.0086,0.0005
13.44,14.34,13.89,1.137,0.036,0.705,0.911,0.038,89.62,2.40,1925.5,1928.8,0.0082,0.0005
14.4,15.3,14.85,1.023,0.034,0.765,0.796,0.036,97.70,2.78,1917.4,1921.2,0.0074,0.0006
15.36,16.26,15.81,1.041,0.033,0.826,0.815,0.035,109.17,3.59,1905.9,1911.4,0.0053,0.0005
16.32,17.22,16.77,0.683,0.020,0.889,0.457,0.023,118.40,4.54,1896.7,1901.0,0.0069,0.0009
17.28,18.18,17.73,0.390,0.016,0.949,0.164,0.020,122.41,5.04,1892.7,1894.5,0.0156,0.0029
18.24,19.14,18.69,0.361,0.012,1.010,0.135,0.017,125.99,5.57,1889.1,1890.8,0.0170,0.0034
20.16,21.06,20.61,0.473,0.015,1.134,0.246,0.019,141.67,8.33,1873.4,1878.1,0.0063,0.0015
22.08,22.98,22.53,0.375,0.012,1.260,0.148,0.017,164.53,15.83,1850.6,1856.2,0.0053,0.0023
24,24.9,24.45,0.327,0.011,1.393,0.100,0.016,205.15,54.53,1809.9,1821.7,0.0027,0.0033
