Top_cm,Base_cm,Mid_cm,Total_210Pb,Error_201Pb,Cum_DryMass_g_cm2,Unsup_210Pb,Error_210Pb,Age_Base_yr,Error_Age_sd ,Date_Base_AD,Date_Mid_AD,Sediment_DMAR_g_cm2_yr,Error_DMAR
0,0.9,0.45,34.464,0.825,0.021,32.603,0.832,2.00,1.86,2013.1,2014.1,0.0104,0.0005
2.88,3.78,3.33,28.122,0.991,0.100,26.261,0.997,9.59,2.03,2005.5,2006.8,0.0103,0.0006
5.76,6.66,6.21,20.507,0.663,0.220,18.646,0.671,21.09,2.05,1994.0,1996.1,0.0104,0.0006
7.68,8.58,8.13,14.695,0.254,0.312,12.834,0.274,29.31,2.24,1985.8,1987.7,0.0116,0.0007
10.56,11.46,11.01,11.955,0.436,0.437,10.094,0.447,40.92,2.63,1974.2,1976.0,0.0103,0.0008
13.44,14.34,13.89,10.200,0.408,0.537,8.340,0.420,51.72,3.33,1963.4,1965.0,0.0088,0.0009
15.36,16.26,15.81,8.718,0.202,0.598,6.857,0.227,58.71,4.00,1956.4,1958.1,0.0086,0.0010
19.2,20.1,19.65,4.890,0.119,0.721,3.029,0.157,69.79,3.50,1945.3,1946.4,0.0136,0.0015
23.04,23.94,23.49,3.158,0.098,0.871,1.297,0.141,77.73,3.08,1937.4,1938.2,0.0246,0.0034
26.88,27.78,27.33,3.588,0.123,1.032,1.727,0.160,86.97,3.72,1928.1,1929.4,0.0141,0.0019
30.72,31.62,31.17,3.460,0.115,1.204,1.599,0.154,102.25,5.60,1912.8,1915.0,0.0097,0.0018
33.6,34.5,34.05,3.140,0.112,1.343,1.279,0.152,119.29,9.04,1895.8,1898.8,0.0073,0.0020
36.48,37.38,36.93,2.310,0.078,1.487,0.449,0.129,134.33,12.00,1880.8,1882.6,0.0126,0.0056
39.36,40.26,39.81,2.246,0.061,1.645,0.385,0.119,149.38,18.65,1865.7,1868.4,0.0095,0.0057
42.24,43.14,42.69,2.046,0.068,1.820,0.186,0.123,166.35,30.07,1848.7,1851.2,0.0115,0.0122
43.2,44.1,43.65,2.332,0.071,1.875,0.471,0.125,182.57,49.51,1832.5,1840.3,0.0033,0.0041
